,material_id,metal,anion,formula,oxidationstate,name
461,mp-19443,W,O,W2 O6,6.0,mp-19443W2_O6
462,mp-19529,W,O,W18 O49,5.444444444444445,mp-19529W18_O49
463,mp-19372,W,O,W4 O8,4.0,mp-19372W4_O8
464,mp-224,W,S,W2 S4,4.0,mp-224W2_S4
465,mp-1216242,W,N,W4 N6,4.5,mp-1216242W4_N6
466,mp-573815,Re,I,Re6 I18,3.0,mp-573815Re6_I18
467,mp-23174,Re,Cl,Re6 Cl18,3.0,mp-23174Re6_Cl18
468,mp-27645,Re,Cl,Re8 Cl40,5.0,mp-27645Re8_Cl40
469,mp-1078114,Re,Cl,Re1 Cl6,6.0,mp-1078114Re1_Cl6
470,mp-1210365,Re,Br,Re12 Br28,2.3333333333333335,mp-1210365Re12_Br28
471,mp-643265,Re,F,Re2 F14,7.0,mp-643265Re2_F14
472,mp-1025374,Re,F,Re1 F6,6.0,mp-1025374Re1_F6
473,mp-1016092,Re,O,Re16 O56,7.0,mp-1016092Re16_O56
474,mp-547271,Re,O,Re2 O6,6.0,mp-547271Re2_O6
475,mp-572758,Re,S,Re8 S16,4.0,mp-572758Re8_S16
476,mp-1019052,Re,N,Re3 N3,3.0,mp-1019052Re3_N3
477,mp-974435,Re,N,Re3 N1,1.0,mp-974435Re3_N1
478,mp-571035,Os,Cl,Os1 Cl4,4.0,mp-571035Os1_Cl4
479,mp-28301,Os,Br,Os8 Br32,4.0,mp-28301Os8_Br32
480,mp-22626,Os,F,Os4 F24,6.0,mp-22626Os4_F24
481,mp-540830,Os,F,Os8 F40,5.0,mp-540830Os8_F40
482,mp-996,Os,O,Os2 O4,4.0,mp-996Os2_O4
483,mp-540783,Os,O,Os2 O8,8.0,mp-540783Os2_O8
484,mp-20905,Os,S,Os4 S8,4.0,mp-20905Os4_S8
485,mp-1025442,Ir,I,Ir2 I6,3.0,mp-1025442Ir2_I6
486,mp-27666,Ir,Cl,Ir2 Cl6,3.0,mp-27666Ir2_Cl6
487,mp-27397,Ir,Br,Ir2 Br6,3.0,mp-27397Ir2_Br6
488,mp-13841,Ir,F,Ir2 F8,4.0,mp-13841Ir2_F8
489,mp-560553,Ir,F,Ir4 F24,6.0,mp-560553Ir4_F24
490,mp-2723,Ir,O,Ir2 O4,4.0,mp-2723Ir2_O4
491,mp-1097041,Ir,O,Ir8 O24,6.0,mp-1097041Ir8_O24
492,mp-2833,Ir,S,Ir8 S16,4.0,mp-2833Ir8_S16
493,mp-861979,Ir,S,Ir4 S6,3.0,mp-861979Ir4_S6
494,mp-1101826,Ir,S,Ir3 S8,5.333333333333333,mp-1101826Ir3_S8
